titolo
The Day the Earth Stood Still (1951)
Invasion of the Body Snatchers (1956)
The Blob (1958)
Plan 9 from Outer Space (1959)
2001: A Space Odyssey (1968)
Close Encounters of the Third Kind (1977)
Star Wars: A New Hope (1977)
Alien (1979)
Star Trek: The Motion Picture (1979)
E.T. the Extra-Terrestrial (1982)
The Thing (1982)
The Last Starfighter (1984)
Starman (1984)
Cocoon (1985)
Aliens (1986)
Predator (1987)
They Live (1988)
The Abyss (1989)
Alien Nation (1988)
Star Trek IV: The Voyage Home (1986)
Independence Day (1996)
Mars Attacks! (1996)
Men in Black (1997)
Contact (1997)
The Fifth Element (1997)
Signs (2002)
War of the Worlds (2005)
District 9 (2009)
Battle: Los Angeles (2011)
The Darkest Hour (2011)
Edge of Tomorrow (2014)
Arrival (2016)
The Vast of Night (2019)
Nope (2022)
Captive State (2019)
The Invasion (2007)
Skyline (2010)
Dark Skies (2013)
The Fourth Kind (2009)
The World's End (2013)
Alien³ (1992)
Alien: Resurrection (1997)
Prometheus (2012)
Alien: Covenant (2017)
AVP: Alien vs. Predator (2004)
AVPR: Aliens vs Predator – Requiem (2007)
Star Wars: The Empire Strikes Back (1980)
Star Wars: Return of the Jedi (1983)
Star Wars: The Phantom Menace (1999)
Star Wars: Attack of the Clones (2002)
Star Wars: Revenge of the Sith (2005)
Star Wars: The Force Awakens (2015)
Star Wars: The Last Jedi (2017)
Star Wars: The Rise of Skywalker (2019)
Guardians of the Galaxy (2014)
Guardians of the Galaxy Vol. 2 (2017)
Guardians of the Galaxy Vol. 3 (2023)
Avatar (2009)
Avatar: The Way of Water (2022)
Valerian and the City of a Thousand Planets (2017)
Jupiter Ascending (2015)
Thor: Ragnarok (2017)
Green Lantern (2011)
Dune (2021)
Dune: Part Two (2024)
Species (1995)
Fire in the Sky (1993)
The Faculty (1998)
Slither (2006)
Life (2017)
The Mist (2007)
Event Horizon (1997)
The Hidden (1987)
Under the Skin (2013)
Color Out of Space (2019)
The Puppet Masters (1994)
Extinction (2018)
The Signal (2014)
Splice (2009)
Extraterrestrial (2014)
Galaxy Quest (1999)
Paul (2011)
Men in Black II (2002)
Men in Black III (2012)
Spaceballs (1987)
Lilo & Stitch (2002)
Home (2015)
Evolution (2001)
Coneheads (1993)
The Hitchhiker’s Guide to the Galaxy (2005)
Solaris (1972)
Solaris (2002)
Interstellar (2014)
Enemy Mine (1985)
Annihilation (2018)
Coherence (2013)
Another Earth (2011)
Europa Report (2013)
The Man Who Fell to Earth (1976)
Stalker (1979)
Predators (2010)
Cowboys & Aliens (2011)
Monsters (2010)
Underwater (2020)
Sphere (1998)
The Arrival (1996)
Killer Klowns from Outer Space (1988)
Pitch Black (2000)
